time	E5_T3	E4_T3
-8554.5	0	
-8549.5	2.10E-07	
-8544.5	6.25E-07	
-8539.5	0.00E+00	
-8534.5	1.25E-06	
-8529.5	8.35E-07	
-8524.5	8.35E-07	
-8519.5	2.10E-07	
-8514.5	6.25E-07	
-8509.5	6.25E-07	
-8504.5	0	
-8499.5	6.25E-07	
-8494.5	4.16E-07	
-8489.5	6.25E-07	
-8484.5	8.35E-07	
-8479.5	6.25E-07	
-8474.5	8.35E-07	
-8469.5	6.25E-07	
-8464.5	0.000001041	
-8459.5	8.35E-07	
-8454.5	8.35E-07	
-8449.5	2.10E-07	
-8444.5	1.25E-06	
-8439.5	6.25E-07	
-8434.5	6.25E-07	
-8429.5	8.35E-07	
-8424.5	4.16E-07	
-8419.5	8.35E-07	
-8414.5	4.16E-07	
-8409.5	8.35E-07	
-8404.5	2.10E-07	
-8399.5	1.25E-06	
-8394.5	8.35E-07	
-8389.5	6.25E-07	
-8384.5	0.000001041	
-8379.5	0.000001041	
-8374.5	6.25E-07	
-8369.5	1.25E-06	
-8364.5	6.25E-07	
-8359.5	0.000001041	
-8354.5	0.000001041	
-8349.5	6.25E-07	
-8344.5	0.000001876	
-8339.5	0.000001876	
-8334.5	8.35E-07	
-8329.5	6.25E-07	
-8324.5	8.35E-07	
-8319.5	1.67E-06	
-8314.5	1.25E-06	
-8309.5	8.35E-07	
-8304.5	0.000001041	
-8299.5	6.25E-07	
-8294.5	8.35E-07	
-8289.5	6.25E-07	
-8284.5	1.25E-06	
-8279.5	8.35E-07	
-8274.5	1.25E-06	
-8269.5	0.000001041	
-8264.5	1.67E-06	
-8259.5	1.46E-06	
-8254.5	8.35E-07	
-8249.5	0.000001041	
-8244.5	8.35E-07	
-8239.5	1.25E-06	
-8234.5	1.67E-06	
-8229.5	0.000001876	
-8224.5	0.000002082	
-8219.5	0.000001876	
-8214.5	1.25E-06	
-8209.5	0.000001876	
-8204.5	1.25E-06	
-8199.5	0.000002082	
-8194.5	0.000002082	
-8189.5	8.35E-07	
-8184.5	2.29E-06	
-8179.5	6.25E-07	
-8174.5	2.92E-06	
-8169.5	6.25E-07	
-8164.5	0.000001041	
-8159.5	0.000001876	
-8154.5	1.46E-06	
-8149.5	1.67E-06	
-8144.5	2.08E-06	
-8139.5	1.46E-06	
-8134.5	2.29E-06	
-8129.5	0.000002082	
-8124.5	3.13E-06	
-8119.5	1.25E-06	
-8114.5	1.67E-06	
-8109.5	3.13E-06	
-8104.5	0.000001041	
-8099.5	0.000002082	
-8094.5	0.000003333	
-8089.5	0.000002082	
-8084.5	2.71E-06	
-8079.5	1.25E-06	
-8074.5	0.000003542	
-8069.5	2.50E-06	
-8064.5	1.46E-06	
-8059.5	0.000003958	
-8054.5	3.13E-06	
-8049.5	0.000001876	
-8044.5	0.000003748	
-8039.5	2.50E-06	
-8034.5	0.000001876	
-8029.5	0.000003333	
-8024.5	1.46E-06	
-8019.5	2.50E-06	
-8014.5	0.000003333	
-8009.5	2.71E-06	
-8004.5	0.000004168	
-7999.5	2.29E-06	
-7994.5	0.000004793	
-7989.5	2.71E-06	
-7984.5	3.13E-06	
-7979.5	0.000003333	
-7974.5	0.000003958	
-7969.5	0.000003958	
-7964.5	3.13E-06	
-7959.5	0.000005624	
-7954.5	3.13E-06	
-7949.5	0.000003748	
-7944.5	0.000004168	
-7939.5	0.000004374	
-7934.5	3.13E-06	
-7929.5	0.000003958	
-7924.5	2.50E-06	
-7919.5	0.000003748	
-7914.5	0.000004793	
-7909.5	0.000004583	
-7904.5	0.000003748	
-7899.5	0.000003748	
-7894.5	0.000003542	
-7889.5	0.000003542	
-7884.5	0.000005418	
-7879.5	0.000003333	
-7874.5	0.000003958	
-7869.5	0.000006665	
-7864.5	0.000003748	
-7859.5	0.000003542	
-7854.5	0.000004793	
-7849.5	0.000003958	
-7844.5	0.000005418	
-7839.5	0.000005418	
-7834.5	0.000004374	
-7829.5	0.000003542	
-7824.5	0.000004374	
-7819.5	0.000005834	
-7814.5	0.000004374	
-7809.5	0.000005418	
-7804.5	0.000004793	
-7799.5	0.000005209	
-7794.5	0.000004999	
-7789.5	0.000004374	
-7784.5	0.000005209	
-7779.5	0.000003748	
-7774.5	0.00000604	
-7769.5	0.000004793	
-7764.5	0.000007085	
-7759.5	0.000004999	
-7754.5	0.00000604	
-7749.5	0.000004793	
-7744.5	0.000008541	
-7739.5	0.000005418	
-7734.5	0.000004374	
-7729.5	0.000005418	
-7724.5	0.000005834	
-7719.5	0.00000604	
-7714.5	0.000004168	
-7709.5	5.21E-06	
-7704.5	0.000003958	
-7699.5	0.000006459	
-7694.5	0.000005834	
-7689.5	0.000008126	
-7684.5	0.000004999	
-7679.5	0.000005834	
-7674.5	0.000006875	
-7669.5	3.96E-06	
-7664.5	4.58E-06	
-7659.5	7.29E-06	
-7654.5	0.000006459	
-7649.5	7.50E-06	
-7644.5	1.00E-05	
-7639.5	7.29E-06	
-7634.5	5.83E-06	
